trip_id,arrival_time,departure_time,stop_id,stop_sequence
374D,09:20:00,09:20:00,Mount_Eaton,6
374D,09:50:00,09:50:00,Canton,7
374D,10:40:00,10:40:00,Akron,8
374D,11:20:00,11:20:00,Cleveland,9
60,09:45:00,09:45:00,Columbus_COTA,0
60,10:05:00,10:05:00,Columbus_Airport,1
60,10:35:00,10:35:00,Newark,2
60,11:05:00,11:05:00,Martinsburg,3
60,11:15:00,11:15:00,Harrison_Township,4
60,11:30:00,11:30:00,Gambier,5
60,11:45:00,11:45:00,Mount_Vernon,6
60,12:15:00,12:15:00,Loudonville,7
60,12:35:00,12:35:00,Shreve,8
60,13:00:00,13:00:00,Wooster,9
61,13:20:00,13:20:00,Wooster,0
61,13:35:00,13:35:00,Shreve,1
61,13:50:00,13:50:00,Loudonville,2
61,14:20:00,14:20:00,Mount_Vernon,3
61,14:40:00,14:40:00,Gambier,4
61,14:50:00,14:50:00,Harrison_Township,5
61,15:00:00,15:00:00,Martinsburg,6
61,15:30:00,15:30:00,Newark,7
61,16:05:00,16:05:00,Columbus_Airport,8
61,16:25:00,16:25:00,Columbus_COTA,9
379D,11:50:00,11:50:00,Cleveland,0
379D,12:40:00,12:40:00,Akron,1
379D,13:15:00,13:15:00,Canton,2
379D,13:45:00,13:45:00,Mount_Eaton,3
379D,14:15:00,14:15:00,Wooster_MRT,4
379D,15:00:00,15:00:00,Mansfield,5
379D,15:30:00,15:30:00,Mount_Gilead,6
379D,16:15:00,16:15:00,Columbus_OSU,7
379D,16:25:00,16:25:00,Columbus_COTA,8
379D,16:40:00,16:40:00,Columbus_Airport,9
353,03:40:00,03:40:00,Columbus_COTA,0
353,04:15:00,04:15:00,Marysville,1
353,04:55:00,04:55:00,Kenton,2
353,05:40:00,05:40:00,Lima,3
353,06:10:00,06:10:00,Delphos,4
353,06:40:00,06:40:00,Van_Wert,5
350,05:15:00,05:15:00,Van_Wert,0
350,05:35:00,05:35:00,Delphos,1
350,06:00:00,06:00:00,Lima,2
350,06:40:00,06:40:00,Kenton,3
350,07:30:00,07:30:00,Marysville,4
350,08:15:00,08:15:00,Columbus_COTA,5
