shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
a_westbound,39.2280191190877,-81.5168917567088,0
a_westbound,39.2222447636632,-81.809730001849,1
a_westbound,39.3375810833333,-82.0755995208333,2
a_westbound,39.3249676549769,-82.1024667350836,3
a_westbound,39.442182,-82.222089,4
a_westbound,39.517045,-82.36378,5
a_westbound,39.7721676611567,-82.6841951796188,6
a_westbound,39.9573220424067,-82.9990071338151,7
a_westbound,39.9971106176784,-83.0080312682948,8
a_westbound,39.9985314725355,-82.8925006520612,9
a_eastbound,39.9573220424067,-82.9990071338151,0
a_eastbound,39.9971106176784,-83.0080312682948,1
a_eastbound,39.9985314725355,-82.8925006520612,2
a_eastbound,39.7721676611567,-82.6841951796188,3
a_eastbound,39.517045,-82.36378,4
a_eastbound,39.442182,-82.222089,5
a_eastbound,39.3249676549769,-82.1024667350836,6
a_eastbound,39.3375810833333,-82.0755995208333,7
a_eastbound,39.2222447636632,-81.809730001849,8
a_eastbound,39.4131552,-81.4553033,9
a_eastbound,39.2280191190877,-81.5168917567088,10
b_eastbound,39.2124883390371,-84.4592751318953,0
b_eastbound,39.1338918235757,-84.5092382958362,1
b_eastbound,39.0829031952626,-84.1529531968127,2
b_eastbound,39.0344285061529,-83.5638488944371,3
b_eastbound,38.9328994326045,-83.417927516437,4
b_eastbound,39.0626082,-83.0171789,5
b_eastbound,39.03734805,-82.6241137943643,6
b_eastbound,39.2341854444323,-82.196805583953,7
b_eastbound,39.3375810833333,-82.0755995208333,8
b_eastbound,39.3249676549769,-82.1024667350836,9
b_westbound,39.3375810833333,-82.0755995208333,0
b_westbound,39.3249676549769,-82.1024667350836,1
b_westbound,39.2341854444323,-82.196805583953,2
b_westbound,39.03734805,-82.6241137943643,3
b_westbound,39.0626082,-83.0171789,4
b_westbound,38.9328994326045,-83.417927516437,5
b_westbound,39.0344285061529,-83.5638488944371,6
b_westbound,39.0829031952626,-84.1529531968127,7
b_westbound,39.1338918235757,-84.5092382958362,8
b_westbound,39.2124883390371,-84.4592751318953,9
c_northbound,39.3249676549769,-82.1024667350836,0
c_northbound,39.3375810833333,-82.0755995208333,1
c_northbound,39.2280191190877,-81.5168917567088,2
c_northbound,39.4131552,-81.4553033,3
c_northbound,39.7383877660406,-81.5301708016485,4
c_northbound,40.0005203080648,-81.5761744511283,5
c_northbound,40.2865696398391,-81.5642008063235,6
c_northbound,40.4918769018477,-81.4812971028803,7
c_northbound,40.7978743877551,-81.3709746938776,8
c_northbound,41.068637,-81.524315,9
c_northbound,41.3157898077325,-81.65332394279,10
c_northbound,41.5031872828283,-81.6820337676768,11
c_southbound,41.5031872828283,-81.6820337676768,0
c_southbound,41.3157898077325,-81.65332394279,1
c_southbound,41.068637,-81.524315,2
c_southbound,40.7978743877551,-81.3709746938776,3
c_southbound,40.4918769018477,-81.4812971028803,4
c_southbound,40.2865696398391,-81.5642008063235,5
c_southbound,40.0005203080648,-81.5761744511283,6
c_southbound,39.7383877660406,-81.5301708016485,7
c_southbound,39.4131552,-81.4553033,8
c_southbound,39.2222447636632,-81.809730001849,9
c_southbound,39.3375810833333,-82.0755995208333,10
c_southbound,39.3249676549769,-82.1024667350836,11
d_northbound,39.9573220424067,-82.9990071338151,0
d_northbound,39.9971106176784,-83.0080312682948,1
d_northbound,39.9985314725355,-82.8925006520612,2
d_northbound,40.070770470179,-82.4449582562663,3
d_northbound,40.2707009681401,-82.3596619452184,4
d_northbound,40.3686048379585,-82.397225883497,5
d_northbound,40.37832815,-82.3962532384451,6
d_northbound,40.3845749591837,-82.4818534285714,7
d_northbound,40.49481075,-82.7149509657719,8
d_northbound,40.6016604489627,-82.2630473941808,9
d_northbound,40.6803514210526,-82.0248741929825,10
d_northbound,40.7563309,-82.5144769864757,11
d_northbound,40.8283205,-81.9099185,12
d_northbound,41.66245575,-86.1296955,13
d_northbound,40.6931413,-81.6987678,14
d_northbound,40.7978743877551,-81.3709746938776,15
d_northbound,41.068637,-81.524315,16
d_northbound,41.5031872828283,-81.6820337676768,17
d_southbound,41.5031872828283,-81.6820337676768,0
d_southbound,41.068637,-81.524315,1
d_southbound,40.7978743877551,-81.3709746938776,2
d_southbound,40.6931413,-81.6987678,3
d_southbound,40.8283205,-81.9099185,4
d_southbound,41.66245575,-86.1296955,5
d_southbound,40.7563309,-82.5144769864757,6
d_southbound,40.6803514210526,-82.0248741929825,7
d_southbound,40.6016604489627,-82.2630473941808,8
d_southbound,40.49481075,-82.7149509657719,9
d_southbound,40.3845749591837,-82.4818534285714,10
d_southbound,40.37832815,-82.3962532384451,11
d_southbound,40.3686048379585,-82.397225883497,12
d_southbound,40.2707009681401,-82.3596619452184,13
d_southbound,40.070770470179,-82.4449582562663,14
d_southbound,39.9971106176784,-83.0080312682948,15
d_southbound,39.9573220424067,-82.9990071338151,16
d_southbound,39.9985314725355,-82.8925006520612,17
e_northbound,39.9573220424067,-82.9990071338151,0
e_northbound,40.240635766462,-83.3417422028906,1
e_northbound,40.634488012602,-83.6017194861041,2
e_northbound,40.7412801836735,-84.1028825510204,3
e_northbound,40.8468635305156,-84.3191387817448,4
e_northbound,40.8740996953109,-84.5999557474798,5
e_southbound,40.8740996953109,-84.5999557474798,0
e_southbound,40.8468635305156,-84.3191387817448,1
e_southbound,40.7412801836735,-84.1028825510204,2
e_southbound,40.634488012602,-83.6017194861041,3
e_southbound,40.240635766462,-83.3417422028906,4
e_southbound,39.9573220424067,-82.9990071338151,5
